Contract Name,Parent Account,Contract Start,Contract End,Terms,Notes,Pricing Notice (days),Open Book,Rebate,Technology Fee,QA Fee,Misc Expense,Owner/Sales Rep
AK Crust Contract,AK Crust,9/1/2023,8/31/2024,Net 10,,45,no,0,,,,Kirk Curtiss
Aubrees Contract,Aubrees,9/1/2025,8/31/2026,Net 10,,45,No,0,,,,Todd Shaya
Bell Flavors and Fragrances Contract,Bell Flavors and Fragrances,1/1/2024,12/31/2024,Net 10,,30 - 45,No,0,0,0,0,Tad Lenahan
Big Boy Great Lakes Food Contract,Big Boy Great Lakes Food,1/1/2026,12/31/2026,,,30,No,0,0,0,0,Todd Shaya
Bloemer Food Sales Contract,Bloemer Food Sales,1/1/2024,12/31/2024,Net 10,,30 - 45,No,0,0,0,0,Tad Lenahan
Burger King-Canada Contract,Burger King-Canada,9/1/2025,8/31/2026,Net 10,"Sales budget paying $5,500 QA Fee",45,No,0,0,500,0,Todd Shaya
Burger King-U.S. Contract,Burger King-U.S.,9/1/2025,8/31/2026,Net 10,"Sensory, Physical, and Analytics testing [QA Fees under QA budget for BK]",45,No,0,0,4000,0,Todd Shaya
Casey's Contract,Casey's,9/1/2025,8/31/2027,Net 30,QA Audits expected annually,60,Yes,0,0,"Yes, TBD",0,Greg Thiel
Chelton House Products Contract,Chelton House Products,1/1/2024,12/31/2024,Net 30,,30 - 45,No,0,0,0,0,Tad Lenahan
Chuck E Cheese Contract,Chuck E Cheese,9/1/2025,8/31/2026,Net 10,Misc Expense is annual charity event.,45,No,0,0,0,1500,Greg Thiel
CiCi's Contract,CiCi's,10/1/2024,9/30/2025,Net 30,$15K was added to the 2022/23 pricing used already,30,No,0,0,0,0,Kevin Crooks
Congo Brands/Sokol Contract,Congo Brands/Sokol,9/1/2025,8/31/2026,,QA estimate,45,No,0,,2000,,Todd Shaya
COSTCO Contract,Costco,9/2/2025,8/30/2026,Net 10,Misc Fee for new warehouse opening and free product; Program calls for 10 free cases of sauce with new store openings in markets serviced; RFP annually,45,Yes,,0,1000,3000,Kevin Crooks
